date,symbol,marketcapname,sector
01-10-2025,BAJFINANCE,Largecap,Financials
01-10-2025,BANCOINDIA,Midcap,Auto
01-10-2025,BEML,Midcap,Aerospace & Defence
01-10-2025,BEL,Largecap,Aerospace & Defence
01-10-2025,BHEL,Largecap,Industrials
01-10-2025,HINDPETRO,Largecap,Energy
01-10-2025,SBIN,Largecap,Bank
01-10-2025,SAIL,Largecap,Metals & Mining
01-10-2025,HEROMOTOCO,Largecap,Auto
01-10-2025,HINDZINC,Largecap,Metals & Mining
01-10-2025,INDORAMA,Smallcap,Textiles
01-10-2025,INGERRAND,Midcap,Industrials
01-10-2025,JSWSTEEL,Largecap,Metals & Mining
01-10-2025,KOTAKBANK,Largecap,Bank
01-10-2025,LGBBROSLTD,Smallcap,Auto
01-10-2025,MFSL,Largecap,Miscellaneous
01-10-2025,VEDL,Largecap,Metals & Mining
01-10-2025,HINDALCO,Largecap,Metals & Mining
01-10-2025,PGHH,Largecap,FMCG
01-10-2025,ASHOKLEY,Largecap,Auto
01-10-2025,BPCL,Largecap,Energy
01-10-2025,DEEPAKFERT,Midcap,Chemicals
01-10-2025,TNPETRO,Smallcap,Energy
01-10-2025,ZUARIIND,Smallcap,FMCG
01-10-2025,TATACONSUM,Largecap,FMCG
01-10-2025,CEATLTD,Midcap,Auto
01-10-2025,TATAINVEST,Largecap,Financials
01-10-2025,SHREDIGCEM,Smallcap,Building Materials
01-10-2025,RELTD,Smallcap,Industrials
01-10-2025,SANDUMA,Midcap,Metals & Mining
01-10-2025,TALBROAUTO,Smallcap,Auto
01-10-2025,EICHERMOT,Largecap,Auto
01-10-2025,SCHAEFFLER,Largecap,Industrials
01-10-2025,PUNJABCHEM,Smallcap,Chemicals
01-10-2025,ASTRAZEN,Largecap,Healthcare
01-10-2025,IFBAGRO,Smallcap,FMCG
01-10-2025,TVSSRICHAK,Smallcap,Auto
01-10-2025,CEMPRO,Midcap,Realty
01-10-2025,INTLCONV,Smallcap,FMCG
01-10-2025,CANFINHOME,Midcap,Financials
01-10-2025,SHRIRAMFIN,Largecap,Financials
01-10-2025,CHOLAFIN,Largecap,Financials
01-10-2025,ARIHANTCAP,Smallcap,Financials
01-10-2025,BHAGYANGR,Smallcap,Power & Utilities
01-10-2025,VIYASH,Midcap,Healthcare
01-10-2025,ADANIENT,Largecap,Services
01-10-2025,GANDHITUBE,Smallcap,Metals & Mining
01-10-2025,MAHASTEEL,Smallcap,Metals & Mining
01-10-2025,HINDCOPPER,Largecap,Metals & Mining
01-10-2025,NLCINDIA,Largecap,Power & Utilities
01-10-2025,SUMEETINDS,Smallcap,Textiles
01-10-2025,SANGAMIND,Smallcap,Textiles
01-10-2025,NRAIL,Smallcap,Building Materials
01-10-2025,USHAMART,Midcap,Metals & Mining
01-10-2025,SUBROS,Smallcap,Auto
01-10-2025,LUMAXIND,Midcap,Auto
01-10-2025,PVP,Smallcap,Realty
01-10-2025,JAYBARMARU,Smallcap,Auto
01-10-2025,HITECHGEAR,Smallcap,Auto
01-10-2025,GVT&D,Largecap,Industrials
01-10-2025,JAYNECOIND,Midcap,Metals & Mining
01-10-2025,ELDEHSG,Smallcap,Realty
01-10-2025,PRECWIRE,Midcap,Metals & Mining
01-10-2025,VHLTD,Smallcap,Services
01-10-2025,POONAWALLA,Largecap,Financials
01-10-2025,KINGFA,Midcap,Plastic products
01-10-2025,NEULANDLAB,Largecap,Healthcare
01-10-2025,NMDC,Largecap,Metals & Mining
01-10-2025,TFCILTD,Smallcap,Financials
01-10-2025,ASHAPURMIN,Midcap,Metals & Mining
01-10-2025,JKTYRE,Midcap,Auto
01-10-2025,JUBLPHARMA,Midcap,Healthcare
01-10-2025,SANGHVIMOV,Smallcap,Miscellaneous
01-10-2025,GOODLUCK,Smallcap,Metals & Mining
