Symbol,Name,Industry,Market Cap (Cr),Close Price (₹),Returns 1D (%),Returns 1W (%),Scan Matches Count,Matches
NSE:FCL,Fineotex Chemical Ltd,Speciality Chemicals,4597.45,39.48,1.15,18.84,31,"Stage 2 candidate, Technically Strong , capex capex capex, Tod fod Blockbuster results, Monthly check Industry RS, Early trend picker, Early Stage 2, Relative Strength Index + volume, Golden Crossover Weekly, Golden Crossover Daily, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Long Term Breakout, Volume Rocketing, Monthly Trend Twist, Breakout Horizon, Cyclone, Buoyant Growth, Bulk Block Deals, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Strong Quarterly Growth"
NSE:SPARC,Sun Pharma Advanced Research Company Ltd,Pharma - Others,7644.76,235.57,1.11,31.04,30,"Stage 2 candidate, Technically Strong , Tod fod Blockbuster results, Monthly check Industry RS, Early trend picker, Early Stage 2, Relative Strength Index + volume, Golden Crossover Weekly, Golden Crossover Daily, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Long Term Breakout, Volume Rocketing, Monthly Trend Twist, Cyclone, Turbo Surge, Techno Funda, Buoyant Growth, Explosive Growth, Bulk Block Deals, Index Outperformance 3 Months, Industry Outperformance 3 Months, Margin Expansion, Strong Quarterly Growth"
NSE:APOLLO,Apollo Micro Systems Ltd,Aerospace & Defence - Equipments,14724.02,412.1,0.96,20.96,30,"Stage 2 candidate, Consistent Revenue growth, capex capex capex, Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Early Stage 2, Relative Strength Index + volume, Taaza Taaza 52WH, Improving inventory days, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Weak Index Strong stocks Microcap 250, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Volume Rocketing, Cyclone, Turbo Surge, Alpha Leaders, Buoyant Growth, Explosive Growth, Bulk Block Deals, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year"
NSE:RATEGAIN,Rategain Travel Technologies Ltd,IT Product Companies,8631.98,730.5,0.64,8.45,28,"Stage 2 candidate, Technically Strong , Monthly check Industry RS, Early Stage 2, Relative Strength Index + volume, GARP SHANKAR NATH, Golden Crossover Weekly, Golden Crossover Daily, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Weak Index Strong stocks Microcap 250, MUNAFA HUA HAI, GARP, SIMPLE VALUATION ALL WEATHER, 200EMa momentum 52weekhigh, Modest result + technicals, Long Term Breakout, Volume Rocketing, Monthly Trend Twist, Cyclone, Techno Funda, Buoyant Growth, Index Outperformance 3 Months, Industry Outperformance 3 Months, Industry Outperformance 1 Year"
NSE:WHEELS,Wheels India Ltd,Auto Ancillaries - Wheels,3910.5,1600.5,-2.02,2.32,28,"Stage 2 candidate, Technically Strong , Tod fod Blockbuster results, Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Driving Deleverage, GARP SHankar Nath youtube stock scans, Taaza Taaza 52WH, Improving inventory days, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Alpha Leaders, Techno Funda, Driving Deleverage, Margin Mavericks, Buoyant Growth, Bulk Block Deals, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Strong Quarterly Growth"
NSE:SENORES,Senores Pharmaceuticals Ltd,Pharma - API,5319.88,1155.15,0.13,9.33,28,"Stage 2 candidate, Technically Strong , capex capex capex, Tod fod Blockbuster results, Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Volume Rocketing, Cyclone, Turbo Surge, Techno Funda, Buoyant Growth, Explosive Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Margin Expansion"
NSE:SASKEN,Sasken Technologies Ltd,IT - Software,3047.17,2006.5,4.27,10.04,27,"Stage 2 candidate, capex capex capex, Tod fod Blockbuster results, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Debt Reducing, Golden Crossover Weekly, Golden Crossover Daily, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Long Term Breakout, Monthly Trend Twist, Breakout Horizon, Cyclone, Buoyant Growth, Bulk Block Deals, Insider Trading Selling, Index Outperformance 3 Months, Industry Outperformance 3 Months, Margin Expansion"
NSE:UNIPARTS,Uniparts India Ltd,"Castings, Forgings & Fastners",2741.77,607.35,8.55,12.57,27,"Stage 2 candidate, Technically Strong , Tod fod Blockbuster results, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Relative Strength Index + volume, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Long Term Breakout, Volume Rocketing, Breakout Horizon, Turbo Surge, Margin Mavericks, Buoyant Growth, Explosive Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Margin Expansion, Strong Quarterly Growth, Result Calendar"
BSE:KPL,Kwality Pharmaceuticals Ltd,Pharma - Formulators,2236.07,2155.0,-3.39,7.83,27,"Increasing ebitda margins, Technically Strong , Tod fod Blockbuster results, Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Taaza Taaza 52WH, Improving inventory days, Early Stage 2 New, SOIC LTI +ve, MUNAFA HUA HAI, GARP, SIMPLE VALUATION ALL WEATHER, 200EMa momentum 52weekhigh, Modest result + technicals, Volume Rocketing, Turbo Surge, Alpha Leaders, Techno Funda, Explosive Growth, Institutional Influx, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Strong Quarterly Growth"
NSE:MTARTECH,MTAR Technologies Ltd,Aerospace & Defence - Equipments,24232.41,7878.0,-0.92,15.68,26,"Stage 2 candidate, Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Relative Strength Index + volume, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Volume Rocketing, Turbo Surge, Alpha Leaders, Buoyant Growth, Explosive Growth, Smart Money Moves, Institutional Influx, Bulk Block Deals, Insider Trading Selling, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year"
